,Age,Bats/Throws,Height/Weight,Birthdate,Name,POS,pid
406,Age: 45,Bats/Throws: L/L,"6' 5"" / 245","1/5/1974 (45 y, 4 m, 16 d)",Mark Redman,P,491.0
407,Age: 46,Bats/Throws: R/R,"6' 0"" / 190","10/4/1972 (46 y, 7 m, 17 d)",Adam Riggs,2B/OF,492.0
408,Age: 42,Bats/Throws: R/R,"6' 1"" / 236","9/8/1976 (42 y, 8 m, 13 d)",Mike Rivera,C,493.0
409,Age: 42,Bats/Throws: R/R,"5' 11"" / 230","3/18/1977 (42 y, 2 m, 3 d)",Fernando Rodney,P,494.0
410,Age: 40,Bats/Throws: R/R,"6' 0"" / 195","6/27/1978 (40 y, 10 m, 24 d)",Oscar Salazar,OF,495.0
411,Age: 45,Bats/Throws: R/R,"6' 0"" / 210","1/20/1974 (45 y, 4 m, 1 d)",Julio Santana,P,496.0
412,Age: 43,Bats/Throws: L/L,"6' 0"" / 240","5/25/1975 (43 y, 11 m, 26 d)",Randall Simon,1B,497.0
413,Age: 53,Bats/Throws: R/R,"6' 0"" / 180","7/2/1965 (53 y, 10 m, 19 d)",Steve Sparks,P,499.0
414,Age: 49,Bats/Throws: B/R,"5' 11"" / 188","10/2/1969 (49 y, 7 m, 19 d)",Matt Walbeck,C,501.0
415,Age: 47,Bats/Throws: L/L,"6' 2"" / 194","7/1/1971 (47 y, 10 m, 20 d)",Jamie Walker,P,502.0
416,Age: 42,Bats/Throws: R/R,"6' 5"" / 202","8/22/1976 (42 y, 8 m, 29 d)",Jeff Weaver,P,503.0
417,Age: 45,Bats/Throws: B/R,"6' 2"" / 298","10/11/1973 (45 y, 7 m, 10 d)",Dmitri Young,1B/OF,505.0
418,Age: 46,Bats/Throws: L/L,"6' 0"" / 210","8/25/1972 (46 y, 8 m, 26 d)",Andy Abad,1B,506.0
419,Age: 46,Bats/Throws: L/L,"6' 3"" / 230","10/26/1972 (46 y, 6 m, 25 d)",Armando Almanza,P,507.0
420,Age: 34,Bats/Throws: R/R,"6' 0"" / 180","8/15/1984 (34 y, 9 m, 6 d)",Tyson Brummett,P,509.0
421,Age: 39,Bats/Throws: R/R,"6' 5"" / 230","5/15/1980 (39 y, 6 d)",Josh Beckett,P,510.0
422,Age: 49,Bats/Throws: R/R,"6' 6"" / 214","5/29/1969 (49 y, 11 m, 22 d)",Toby Borland,P,511.0
423,Age: 42,Bats/Throws: R/R,"6' 4"" / 225","1/3/1977 (42 y, 4 m, 18 d)",A.J. Burnett,P,512.0
424,Age: 43,Bats/Throws: B/R,"5' 11"" / 197","9/12/1975 (43 y, 8 m, 9 d)",Luis Castillo,2B,513.0
425,Age: 43,Bats/Throws: R/R,"6' 3"" / 240","3/1/1976 (43 y, 2 m, 20 d)",Ramon Castro,C,514.0
426,Age: 48,Bats/Throws: L/L,"5' 10"" / 180","11/13/1970 (48 y, 6 m, 8 d)",Vic Darensbourg,P,516.0
427,Age: 42,Bats/Throws: R/R,"6' 2"" / 215","5/3/1977 (42 y, 18 d)",Ryan Dempster,P,517.0
428,Age: 46,Bats/Throws: L/R,"6' 4"" / 230","12/5/1972 (46 y, 5 m, 16 d)",Cliff Floyd,OF,518.0
429,Age: 42,Bats/Throws: R/R,"6' 1"" / 210","2/15/1977 (42 y, 3 m, 6 d)",Alex Gonzalez,SS,520.0
430,Age: 42,Bats/Throws: R/R,"6' 5"" / 235","11/11/1976 (42 y, 6 m, 10 d)",Jason Grilli,P,521.0
431,Age: 42,Bats/Throws: R/R,"6' 1"" / 200","1/2/1977 (42 y, 4 m, 19 d)",Hansel Izquierdo,P,522.0
432,Age: 47,Bats/Throws: R/R,"6' 3"" / 225","7/20/1971 (47 y, 10 m, 1 d)",Charles Johnson,C,523.0
433,Age: 43,Bats/Throws: R/R,"6' 5"" / 245","9/6/1975 (43 y, 8 m, 15 d)",Derrek Lee,1B,525.0
434,Age: 44,Bats/Throws: R/R,"6' 3"" / 235","10/28/1974 (44 y, 6 m, 23 d)",Braden Looper,P,526.0
435,Age: 45,Bats/Throws: R/R,"6' 3"" / 210","2/24/1974 (45 y, 2 m, 27 d)",Mike Lowell,3B,527.0
436,Age: 44,Bats/Throws: L/L,"6' 1"" / 231","6/30/1974 (44 y, 10 m, 21 d)",Oswaldo Mairena,P,528.0
437,Age: 47,Bats/Throws: R/R,"6' 0"" / 217","9/24/1971 (47 y, 7 m, 27 d)",Kevin Millar,1B/OF,529.0
438,Age: 42,Bats/Throws: B/R,"6' 3"" / 210","2/5/1977 (42 y, 3 m, 16 d)",Abraham Nunez,OF,531.0
439,Age: 44,Bats/Throws: R/R,"6' 4"" / 240","3/15/1975 (44 y, 2 m, 6 d)",Vladimir Nunez,P,532.0
440,Age: 42,Bats/Throws: R/R,"6' 2"" / 195","7/26/1976 (42 y, 9 m, 25 d)",Kevin Olsen,P,533.0
441,Age: 48,Bats/Throws: R/R,"6' 1"" / 191","2/3/1971 (48 y, 3 m, 18 d)",Eric Owens,OF,534.0
442,Age: 40,Bats/Throws: R/R,"6' 4"" / 230","5/24/1978 (40 y, 11 m, 27 d)",Brad Penny,P,535.0
443,Age: 48,Bats/Throws: R/R,"5' 11"" / 200","5/5/1971 (48 y, 16 d)",Mike Redmond,C,538.0
444,Age: 35,Bats/Throws: L/L,"6' 3"" / 190","7/7/1983 (35 y, 10 m, 14 d)",R.J. Swindle,P,539.0
445,Age: 49,Bats/Throws: R/R,"6' 3"" / 235","5/7/1970 (49 y, 14 d)",Mark Smith,OF,540.0
446,Age: 45,Bats/Throws: L/R,"6' 2"" / 195","5/22/1973 (45 y, 11 m, 29 d)",Julian Tavarez,P,541.0
447,Age: 42,Bats/Throws: L/L,"5' 9"" / 190","10/18/1976 (42 y, 7 m, 3 d)",Michael Tejera,P,542.0
448,Age: 44,Bats/Throws: R/R,"6' 2"" / 220","7/19/1974 (44 y, 10 m, 2 d)",Preston Wilson,OF,545.0
449,Age: 50,Bats/Throws: R/R,"5' 11"" / 187","4/14/1969 (50 y, 1 m, 7 d)",Brad Ausmus,C,546.0
450,Age: 50,Bats/Throws: R/R,"6' 0"" / 215","5/27/1968 (50 y, 11 m, 24 d)",Jeff Bagwell,1B,547.0
451,Age: 43,Bats/Throws: B/L,"6' 1"" / 220","2/10/1976 (43 y, 3 m, 11 d)",Lance Berkman,1B/OF,548.0
452,Age: 53,Bats/Throws: R/R,"5' 11"" / 185","12/14/1965 (53 y, 5 m, 7 d)",Craig Biggio,2B,549.0
453,Age: 46,Bats/Throws: B/R,"6' 3"" / 221","4/26/1973 (46 y, 25 d)",Geoff Blum,3B,550.0
454,Age: 52,Bats/Throws: L/R,"6' 5"" / 250","5/16/1967 (52 y, 5 d)",Doug Brocail,P,551.0
455,Age: 49,Bats/Throws: R/R,"6' 0"" / 170","10/28/1969 (49 y, 6 m, 23 d)",Kirk Bullinger,P,552.0
456,Age: 46,Bats/Throws: R/R,"5' 11"" / 225","3/18/1973 (46 y, 2 m, 3 d)",Raul Chavez,C,553.0
457,Age: 46,Bats/Throws: R/R,"6' 1"" / 185","9/13/1972 (46 y, 8 m, 8 d)",Nelson Cruz,P,554.0
458,Age: 45,Bats/Throws: R/R,"6' 0"" / 230","11/25/1973 (45 y, 5 m, 26 d)",Octavio Dotel,P,555.0
459,Age: 43,Bats/Throws: R/R,"6' 2"" / 210","8/26/1975 (43 y, 8 m, 25 d)",Morgan Ensberg,3B,556.0
460,Age: 45,Bats/Throws: L/L,"6' 2"" / 195","3/9/1974 (45 y, 2 m, 12 d)",Wayne Franklin,P,557.0
461,Age: 34,Bats/Throws: L/R,"6' 2"" / 235","5/24/1984 (34 y, 11 m, 27 d)",Hector Ambriz,P,559.0
462,Age: 39,Bats/Throws: B/L,"5' 10"" / 200","4/22/1980 (39 y, 29 d)",Carlos Hernandez,P,560.0
463,Age: 43,Bats/Throws: R/R,"6' 3"" / 220","6/28/1975 (43 y, 10 m, 23 d)",Richard Hidalgo,OF,561.0
464,Age: 48,Bats/Throws: R/R,"6' 3"" / 180","3/5/1971 (48 y, 2 m, 16 d)",Brian Hunter,OF,562.0
465,Age: 42,Bats/Throws: R/R,"6' 5"" / 210","12/23/1976 (42 y, 4 m, 28 d)",Brad Lidge,P,563.0
466,Age: 42,Bats/Throws: R/R,"6' 3"" / 220","8/4/1976 (42 y, 9 m, 17 d)",Scott Linebrink,P,564.0
467,Age: 43,Bats/Throws: R/R,"6' 1"" / 175","11/16/1975 (43 y, 6 m, 5 d)",Julio Lugo,SS,565.0
468,Age: 44,Bats/Throws: R/R,"6' 3"" / 225","11/17/1974 (44 y, 6 m, 4 d)",Jim Mann,P,566.0
469,Age: 49,Bats/Throws: R/R,"6' 1"" / 225","1/19/1970 (49 y, 4 m, 2 d)",T.J. Mathews,P,567.0
470,Age: 42,Bats/Throws: R/R,"6' 2"" / 210","9/13/1976 (42 y, 8 m, 8 d)",Wade Miller,P,568.0
471,Age: 50,Bats/Throws: R/R,"6' 4"" / 200","6/8/1968 (50 y, 11 m, 13 d)",Dave Mlicki,P,569.0
472,Age: 46,Bats/Throws: L/L,"6' 3"" / 210","3/9/1973 (46 y, 2 m, 12 d)",C.J. Nitkowski,P,570.0
473,Age: 41,Bats/Throws: R/R,"6' 0"" / 190","8/29/1977 (41 y, 8 m, 22 d)",Roy Oswalt,P,571.0
474,Age: 43,Bats/Throws: R/R,"6' 2"" / 185","10/5/1975 (43 y, 7 m, 16 d)",Brandon Puffer,P,572.0
475,Age: 41,Bats/Throws: R/R,"5' 11"" / 230","2/12/1978 (41 y, 3 m, 9 d)",Tim Redding,P,573.0
476,Age: 51,Bats/Throws: R/R,"6' 3"" / 215","3/26/1968 (51 y, 1 m, 25 d)",Shane Reynolds,P,574.0
477,Age: 44,Bats/Throws: R/R,"6' 1"" / 195","2/28/1975 (44 y, 2 m, 23 d)",Ricky Stone,P,576.0
478,Age: 51,Bats/Throws: B/R,"6' 1"" / 190","3/26/1968 (51 y, 1 m, 25 d)",Jose Vizcaino,2B/SS,577.0
479,Age: 47,Bats/Throws: L/L,"5' 10"" / 180","7/25/1971 (47 y, 9 m, 26 d)",Billy Wagner,P,578.0
480,Age: 43,Bats/Throws: L/L,"6' 2"" / 240","6/27/1975 (43 y, 10 m, 24 d)",Daryle Ward,1B/OF,579.0
481,Age: 48,Bats/Throws: B/R,"5' 10"" / 170","4/14/1971 (48 y, 1 m, 7 d)",Gregg Zaun,C,580.0
482,Age: 51,Bats/Throws: B/R,"6' 1"" / 194","5/19/1968 (51 y, 2 d)",Alan Zinter,1B,581.0
483,Age: 42,Bats/Throws: R/R,"6' 2"" / 170","4/5/1977 (42 y, 1 m, 16 d)",Winston Abreu,P,582.0
484,Age: 39,Bats/Throws: L/L,"6' 4"" / 225","6/6/1979 (39 y, 11 m, 15 d)",Jeremy Affeldt,P,583.0
485,Age: 53,Bats/Throws: B/R,"5' 9"" / 175","7/29/1965 (53 y, 9 m, 22 d)",Luis Alicea,2B,584.0
486,Age: 44,Bats/Throws: R/R,"6' 0"" / 215","7/8/1974 (44 y, 10 m, 13 d)",Danny Ardoin,C,585.0
487,Age: 38,Bats/Throws: R/R,"6' 2"" / 190","9/29/1980 (38 y, 7 m, 22 d)",Miguel Asencio,P,586.0
488,Age: 42,Bats/Throws: R/R,"6' 0"" / 185","10/19/1976 (42 y, 7 m, 2 d)",Jeff Austin,P,587.0
489,Age: 48,Bats/Throws: R/R,"6' 1"" / 210","1/24/1971 (48 y, 3 m, 27 d)",Cory Bailey,P,588.0
490,Age: 42,Bats/Throws: B/R,"6' 1"" / 215","4/24/1977 (42 y, 27 d)",Carlos Beltran,OF,589.0
491,Age: 44,Bats/Throws: R/R,"5' 11"" / 205","2/21/1975 (44 y, 3 m)",Brandon Berger,OF,590.0
492,Age: 41,Bats/Throws: R/R,"6' 0"" / 195","1/27/1978 (41 y, 3 m, 24 d)",Angel Berroa,SS,591.0
493,Age: 39,Bats/Throws: R/R,"5' 11"" / 220","11/7/1979 (39 y, 6 m, 14 d)",Juan Brito,C,592.0
494,Age: 41,Bats/Throws: L/R,"6' 0"" / 220","3/27/1978 (41 y, 1 m, 24 d)",Dee Brown,OF,593.0
495,Age: 48,Bats/Throws: R/R,"6' 1"" / 190","12/3/1970 (48 y, 5 m, 18 d)",Paul Byrd,P,594.0
496,Age: 41,Bats/Throws: L/R,"6' 1"" / 172","5/27/1977 (41 y, 11 m, 24 d)",Mike Caruso,SS,595.0
497,Age: 33,Bats/Throws: L/L,"6' 3"" / 215","10/1/1985 (33 y, 7 m, 20 d)",Jeremy Horst,P,596.0
498,Age: 42,Bats/Throws: R/R,"5' 11"" / 185","5/24/1976 (42 y, 11 m, 27 d)",Carlos Febles,2B,598.0
499,Age: 43,Bats/Throws: R/R,"6' 2"" / 200","12/11/1975 (43 y, 5 m, 10 d)",Nate Field,P,599.0
500,Age: 39,Bats/Throws: L/L,"6' 2"" / 195","9/16/1979 (39 y, 8 m, 5 d)",Chris George,P,601.0
501,Age: 51,Bats/Throws: R/R,"6' 3"" / 205","8/7/1967 (51 y, 9 m, 14 d)",Jason Grimsley,P,602.0
502,Age: 41,Bats/Throws: R/R,"6' 2"" / 250","3/1/1978 (41 y, 2 m, 20 d)",Ken Harvey,1B/DH,604.0
503,Age: 54,Bats/Throws: R/R,"6' 4"" / 245","11/11/1964 (54 y, 6 m, 10 d)",Roberto Hernandez,P,605.0
504,Age: 45,Bats/Throws: R/R,"6' 1"" / 210","5/15/1974 (45 y, 6 d)",A.J. Hinch,C,606.0
505,Age: 46,Bats/Throws: L/R,"6' 2"" / 225","6/2/1972 (46 y, 11 m, 19 d)",Raul Ibanez,OF,607.0
506,Age: 50,Bats/Throws: R/R,"5' 9"" / 175","7/7/1968 (50 y, 10 m, 14 d)",Chuck Knoblauch,2B,609.0
507,Age: 42,Bats/Throws: B/R,"6' 4"" / 180","3/5/1977 (42 y, 2 m, 16 d)",Mike MacDougal,P,612.0
508,Age: 46,Bats/Throws: L/L,"6' 2"" / 185","6/13/1972 (46 y, 11 m, 8 d)",Darrell May,P,613.0
509,Age: 51,Bats/Throws: L/R,"6' 1"" / 190","4/19/1968 (51 y, 1 m, 2 d)",Brent Mayne,C,614.0
510,Age: 44,Bats/Throws: B/R,"5' 11"" / 180","2/20/1975 (44 y, 3 m, 1 d)",Donzell McDonald,OF,615.0
511,Age: 34,Bats/Throws: R/R,"6' 2"" / 210","12/15/1984 (34 y, 5 m, 6 d)",Cole Garner,OF,616.0
512,Age: 42,Bats/Throws: R/R,"6' 3"" / 200","4/27/1977 (42 y, 24 d)",Orber Moreno,P,617.0
513,Age: 44,Bats/Throws: R/L,"6' 2"" / 190","1/17/1975 (44 y, 4 m, 4 d)",Scott Mullen,P,618.0
514,Age: 45,Bats/Throws: B/R,"6' 0"" / 175","6/2/1973 (45 y, 11 m, 19 d)",Neifi Perez,SS,620.0
515,Age: 45,Bats/Throws: R/R,"6' 1"" / 195",5/21/1974 (45 y),Mark Quinn,DH/OF,621.0
516,Age: 49,Bats/Throws: R/R,"5' 11"" / 190","12/18/1969 (49 y, 5 m, 3 d)",Joe Randa,3B,623.0
517,Age: 42,Bats/Throws: R/R,"6' 3"" / 175","7/12/1976 (42 y, 10 m, 9 d)",Dan Reichert,P,624.0
518,Age: 46,Bats/Throws: R/R,"6' 3"" / 220","6/3/1972 (46 y, 11 m, 18 d)",Bryan Rekar,P,625.0
519,Age: 43,Bats/Throws: R/R,"5' 6"" / 175","6/17/1975 (43 y, 11 m, 4 d)",Donnie Sadler,2B/OF,627.0
520,Age: 33,Bats/Throws: R/R,"6' 2"" / 210","5/15/1986 (33 y, 6 d)",Brandon Barnes,OF,629.0
521,Age: 50,Bats/Throws: L/L,"5' 10"" / 190","9/26/1968 (50 y, 7 m, 25 d)",Brian Shouse,P,630.0
522,Age: 45,Bats/Throws: R/R,"6' 7"" / 240","8/3/1973 (45 y, 9 m, 18 d)",Blake Stein,P,632.0
523,Age: 44,Bats/Throws: R/R,"6' 2"" / 230","1/2/1975 (44 y, 4 m, 19 d)",Jeff Suppan,P,633.0
524,Age: 45,Bats/Throws: R/R,"6' 3"" / 225","7/22/1973 (45 y, 9 m, 29 d)",Mike Sweeney,1B/DH,634.0
525,Age: 47,Bats/Throws: L/R,"6' 2"" / 210","6/25/1971 (47 y, 10 m, 26 d)",Michael Tucker,OF,635.0
526,Age: 42,Bats/Throws: R/R,"6' 4"" / 220","8/6/1976 (42 y, 9 m, 15 d)",Kris Wilson,P,636.0
527,Age: 51,Bats/Throws: R/R,"6' 5"" / 200","7/11/1967 (51 y, 10 m, 10 d)",Andy Ashby,P,637.0
528,Age: 45,Bats/Throws: L/R,"6' 4"" / 210","1/1/1974 (45 y, 4 m, 20 d)",Kevin Beirne,P,638.0
529,Age: 40,Bats/Throws: R/R,"5' 11"" / 220","4/7/1979 (40 y, 1 m, 14 d)",Adrian Beltre,3B,639.0
530,Age: 54,Bats/Throws: R/R,"6' 4"" / 220","3/14/1965 (54 y, 2 m, 7 d)",Kevin Brown,P,642.0
531,Age: 51,Bats/Throws: R/R,"6' 2"" / 230","3/4/1968 (51 y, 2 m, 17 d)",Giovanni Carrara,P,643.0
532,Age: 41,Bats/Throws: R/R,"6' 1"" / 190","10/27/1977 (41 y, 6 m, 24 d)",Chin-Feng Chen,OF,644.0
533,Age: 47,Bats/Throws: L/L,"6' 3"" / 204","3/1/1972 (47 y, 2 m, 20 d)",Omar Daal,P,646.0
534,Age: 47,Bats/Throws: R/R,"6' 2"" / 210","5/3/1972 (47 y, 18 d)",Darren Dreifort,P,647.0
535,Age: 48,Bats/Throws: R/R,"6' 5"" / 220","12/15/1970 (48 y, 5 m, 6 d)",Robert Ellis,P,649.0
536,Age: 43,Bats/Throws: R/R,"6' 0"" / 240","1/7/1976 (43 y, 4 m, 14 d)",Eric Gagne,P,650.0
537,Age: 46,Bats/Throws: L/L,"6' 4"" / 205","11/10/1972 (46 y, 6 m, 11 d)",Shawn Green,OF,651.0
538,Age: 52,Bats/Throws: R/R,"5' 11"" / 210","4/17/1967 (52 y, 1 m, 4 d)",Marquis Grissom,OF,652.0
539,Age: 48,Bats/Throws: R/R,"6' 1"" / 190","6/30/1970 (48 y, 10 m, 21 d)",Mark Grudzielanek,2B/SS,653.0
540,Age: 45,Bats/Throws: L/L,"6' 0"" / 215","9/9/1973 (45 y, 8 m, 12 d)",Kazuhisa Ishii,P,655.0
541,Age: 39,Bats/Throws: B/R,"5' 9"" / 180","2/10/1980 (39 y, 3 m, 11 d)",Cesar Izturis,SS,656.0
542,Age: 52,Bats/Throws: R/R,"6' 1"" / 225","3/29/1967 (52 y, 1 m, 22 d)",Brian Jordan,OF,658.0
543,Age: 51,Bats/Throws: R/R,"6' 4"" / 226","11/4/1967 (51 y, 6 m, 17 d)",Eric Karros,1B,659.0
544,Age: 46,Bats/Throws: R/R,"6' 1"" / 210","5/6/1973 (46 y, 15 d)",Mike Kinkade,OF,660.0
545,Age: 54,Bats/Throws: B/R,"6' 2"" / 200","8/26/1964 (54 y, 8 m, 25 d)",Chad Kreuter,C,661.0
546,Age: 47,Bats/Throws: R/R,"5' 9"" / 213","4/12/1972 (47 y, 1 m, 9 d)",Paul Lo Duca,C,662.0
547,Age: 56,Bats/Throws: R/L,"6' 3"" / 225","3/9/1963 (56 y, 2 m, 12 d)",Terry Mulholland,P,665.0
548,Age: 50,Bats/Throws: R/R,"6' 2"" / 220","8/31/1968 (50 y, 8 m, 21 d)",Hideo Nomo,P,666.0
549,Age: 62,Bats/Throws: R/L,"6' 2"" / 205","4/21/1957 (62 y, 1 m)",Jesse Orosco,P,667.0
550,Age: 41,Bats/Throws: L/L,"6' 0"" / 212","6/11/1977 (41 y, 11 m, 10 d)",Odalis Perez,P,668.0
551,Age: 50,Bats/Throws: L/R,"6' 1"" / 200","11/3/1968 (50 y, 6 m, 18 d)",Paul Quantrill,P,669.0
552,Age: 46,Bats/Throws: L/L,"5' 10"" / 180","5/31/1972 (46 y, 11 m, 21 d)",Dave Roberts,OF,670.0
553,Age: 54,Bats/Throws: R/R,"5' 10"" / 185","2/12/1965 (54 y, 3 m, 9 d)",Dennis Springer,P,672.0
554,Age: 39,Bats/Throws: L/R,"5' 11"" / 210","9/29/1979 (39 y, 7 m, 22 d)",Joe Thurston,2B/3B,673.0
555,Age: 46,Bats/Throws: R/L,"6' 0"" / 185","6/6/1972 (46 y, 11 m, 15 d)",Jeff Williams,P,674.0
556,Age: 46,Bats/Throws: L/R,"6' 3"" / 210","6/20/1972 (46 y, 11 m, 1 d)",Paul Bako,C,676.0
557,Age: 44,Bats/Throws: R/R,"5' 9"" / 211","4/7/1975 (44 y, 1 m, 14 d)",Ronnie Belliard,2B,677.0
558,Age: 48,Bats/Throws: R/R,"6' 3"" / 212","12/12/1970 (48 y, 5 m, 9 d)",Mike Buddie,P,678.0
559,Age: 50,Bats/Throws: R/R,"6' 0"" / 180","3/24/1969 (50 y, 1 m, 27 d)",Jose Cabrera,P,679.0
560,Age: 46,Bats/Throws: B/R,"6' 0"" / 232","8/23/1972 (46 y, 8 m, 28 d)",Raul Casanova,C,680.0
561,Age: 46,Bats/Throws: L/L,"6' 2"" / 210","10/6/1972 (46 y, 7 m, 15 d)",Valerio de los Santos,P,681.0
562,Age: 48,Bats/Throws: R/R,"6' 2"" / 220","9/28/1970 (48 y, 7 m, 23 d)",Mike DeJean,P,682.0
563,Age: 45,Bats/Throws: R/R,"6' 1"" / 180","5/18/1974 (45 y, 3 d)",Nelson Figueroa,P,683.0
564,Age: 48,Bats/Throws: R/R,"6' 3"" / 215","9/3/1970 (48 y, 8 m, 18 d)",Chad Fox,P,684.0
565,Age: 44,Bats/Throws: R/R,"6' 3"" / 200","11/1/1974 (44 y, 6 m, 20 d)",Ryan Glynn,P,686.0
566,Age: 48,Bats/Throws: R/R,"6' 0"" / 220","3/5/1971 (48 y, 2 m, 16 d)",Jeffrey Hammonds,OF,687.0
567,Age: 49,Bats/Throws: R/R,"6' 1"" / 190","7/14/1969 (49 y, 10 m, 7 d)",Jose Hernandez,3B/SS,688.0
568,Age: 48,Bats/Throws: L/R,"6' 1"" / 210","1/17/1971 (48 y, 4 m, 4 d)",Tyler Houston,C/3B,689.0
569,Age: 44,Bats/Throws: L/R,"6' 1"" / 215","7/21/1974 (44 y, 10 m)",Geoff Jenkins,OF,690.0
570,Age: 46,Bats/Throws: B/R,"6' 4"" / 204","12/14/1972 (46 y, 5 m, 7 d)",Marcus Jensen,C,691.0
571,Age: 45,Bats/Throws: L/L,"6' 0"" / 239","1/15/1974 (45 y, 4 m, 6 d)",Ray King,P,693.0
572,Age: 51,Bats/Throws: R/R,"6' 0"" / 196","4/2/1968 (51 y, 1 m, 19 d)",Curtis Leskanic,P,694.0
573,Age: 48,Bats/Throws: B/R,"5' 11"" / 190","9/4/1970 (48 y, 8 m, 17 d)",Luis Lopez,2B/SS,695.0
574,Age: 33,Bats/Throws: R/R,"6' 0"" / 205","1/5/1986 (33 y, 4 m, 16 d)",J.P. Arencibia,C,697.0
575,Age: 38,Bats/Throws: R/R,"6' 3"" / 235","7/15/1980 (38 y, 10 m, 6 d)",Nick Neugebauer,P,698.0
576,Age: 50,Bats/Throws: L/L,"5' 7"" / 175","1/10/1969 (50 y, 4 m, 11 d)",Takahito Nomura,P,699.0
577,Age: 47,Bats/Throws: R/R,"6' 0"" / 200","3/29/1972 (47 y, 1 m, 22 d)",Alex Ochoa,OF,700.0
578,Age: 42,Bats/Throws: R/L,"6' 5"" / 190","4/7/1977 (42 y, 1 m, 14 d)",Jimmy Osting,P,701.0
579,Age: 40,Bats/Throws: R/R,"6' 1"" / 257","1/5/1979 (40 y, 4 m, 16 d)",Ruben Quevedo,P,705.0
580,Age: 44,Bats/Throws: L/L,"6' 1"" / 225","11/7/1974 (44 y, 6 m, 14 d)",Glendon Rusch,P,707.0
581,Age: 42,Bats/Throws: L/L,"5' 10"" / 180","8/26/1976 (42 y, 8 m, 25 d)",Alex Sanchez,OF,708.0
582,Age: 44,Bats/Throws: R/R,"6' 8"" / 240","12/29/1974 (44 y, 4 m, 22 d)",Richie Sexson,1B,709.0
583,Age: 40,Bats/Throws: R/R,"6' 1"" / 220","7/18/1978 (40 y, 10 m, 3 d)",Ben Sheets,P,710.0
584,Age: 32,Bats/Throws: R/R,"6' 2"" / 210","11/1/1986 (32 y, 6 m, 20 d)",Rhiner Cruz,P,711.0
585,Age: 47,Bats/Throws: R/R,"6' 3"" / 200","8/24/1971 (47 y, 8 m, 27 d)",Everett Stull,P,712.0
586,Age: 51,Bats/Throws: R/R,"6' 3"" / 215","11/4/1967 (51 y, 6 m, 17 d)",Ryan Thompson,OF,713.0
587,Age: 44,Bats/Throws: R/R,"5' 11"" / 210","8/6/1974 (44 y, 9 m, 15 d)",Luis Vizcaino,P,714.0
588,Age: 44,Bats/Throws: R/R,"6' 6"" / 240","12/24/1974 (44 y, 4 m, 27 d)",Jamey Wright,P,715.0
589,Age: 52,Bats/Throws: R/R,"5' 9"" / 185","5/11/1967 (52 y, 10 d)",Eric Young,2B,716.0
590,Age: 41,Bats/Throws: R/R,"6' 2"" / 200","12/30/1977 (41 y, 4 m, 21 d)",Grant Balfour,P,718.0
591,Age: 45,Bats/Throws: R/R,"6' 2"" / 204","8/23/1973 (45 y, 8 m, 28 d)",Casey Blake,3B,719.0
592,Age: 45,Bats/Throws: R/R,"6' 4"" / 230","7/21/1973 (45 y, 10 m)",Brian Buchanan,OF,720.0
593,Age: 45,Bats/Throws: R/R,"5' 9"" / 178","7/4/1973 (45 y, 10 m, 17 d)",Jay Canizaro,2B,722.0
594,Age: 44,Bats/Throws: R/R,"6' 1"" / 190","5/13/1975 (44 y, 8 d)",Jack Cressend,P,723.0
595,Age: 47,Bats/Throws: R/R,"6' 4"" / 228","10/12/1971 (47 y, 7 m, 9 d)",Tony Fiore,P,726.0
596,Age: 48,Bats/Throws: R/L,"6' 0"" / 225","10/2/1970 (48 y, 7 m, 19 d)",Eddie Guardado,P,727.0
597,Age: 41,Bats/Throws: B/R,"6' 0"" / 211","3/21/1978 (41 y, 2 m)",Cristian Guzman,SS,728.0
598,Age: 46,Bats/Throws: R/R,"6' 5"" / 220","12/21/1972 (46 y, 5 m)",LaTroy Hawkins,P,729.0
599,Age: 49,Bats/Throws: B/R,"5' 10"" / 185","4/2/1970 (49 y, 1 m, 19 d)",Denny Hocking,2B/SS,730.0
600,Age: 43,Bats/Throws: R/R,"6' 2"" / 225","7/18/1975 (43 y, 10 m, 3 d)",Torii Hunter,OF,731.0
601,Age: 54,Bats/Throws: R/R,"6' 2"" / 220","12/22/1964 (54 y, 4 m, 29 d)",Mike Jackson,P,732.0
602,Age: 39,Bats/Throws: R/R,"6' 2"" / 210","7/12/1979 (39 y, 10 m, 9 d)",Adam Johnson,P,733.0
603,Age: 44,Bats/Throws: L/L,"5' 10"" / 200","4/25/1975 (44 y, 26 d)",Jacque Jones,OF,735.0
604,Age: 42,Bats/Throws: B/R,"6' 1"" / 225","8/5/1976 (42 y, 9 m, 16 d)",Bobby Kielty,OF,736.0
605,Age: 42,Bats/Throws: R/R,"6' 5"" / 215","12/16/1976 (42 y, 5 m, 5 d)",Matt Kinney,P,737.0
606,Age: 45,Bats/Throws: L/R,"6' 3"" / 220","6/28/1973 (45 y, 10 m, 23 d)",Corey Koskie,3B,738.0
607,Age: 40,Bats/Throws: R/R,"6' 2"" / 215","10/4/1978 (40 y, 7 m, 17 d)",Kyle Lohse,P,739.0
608,Age: 43,Bats/Throws: B/R,"6' 1"" / 200","12/10/1975 (43 y, 5 m, 11 d)",Joe Mays,P,740.0
